parent_code,name,productid,sku,price,qty,description,activity,gender,material,special_price
yoga,Ingrid Running Jacket-M-Orange,WJ04-M-Orange,WJ04-M-Orange,84,30,"<p>The Ingrid Running Jacket combines sleek design and high performance with slim, contoured fit and moisture-wicking fabric. It features a full-zip construction and a collared neck to keep the elements out and body heat in. <br />&bull; Slim fit. <br />&bull; Moisture-wicking fabric. <br />&bull; Two side pockets. <br />&bull; Zippered pocket at back waist. <br />&bull; Machine wash/dry.<br />&bull; Ivory specked full zip</p>",None,Men Women Unisex,Nylon Polyester Rayon,0
yoga,Ingrid Running Jacket-M-Red,WJ04-M-Red,WJ04-M-Red,84,30,"<p>The Ingrid Running Jacket combines sleek design and high performance with slim, contoured fit and moisture-wicking fabric. It features a full-zip construction and a collared neck to keep the elements out and body heat in. <br />&bull; Slim fit. <br />&bull; Moisture-wicking fabric. <br />&bull; Two side pockets. <br />&bull; Zippered pocket at back waist. <br />&bull; Machine wash/dry.<br />&bull; Ivory specked full zip</p>",None,Men Women Unisex,Nylon Polyester Rayon,0
yoga,Ingrid Running Jacket-M-White,WJ04-M-White,WJ04-M-White,84,30,"<p>The Ingrid Running Jacket combines sleek design and high performance with slim, contoured fit and moisture-wicking fabric. It features a full-zip construction and a collared neck to keep the elements out and body heat in. <br />&bull; Slim fit. <br />&bull; Moisture-wicking fabric. <br />&bull; Two side pockets. <br />&bull; Zippered pocket at back waist. <br />&bull; Machine wash/dry.<br />&bull; Ivory specked full zip</p>",None,Men Women Unisex,Nylon Polyester Rayon,0
yoga,Ingrid Running Jacket-L-Orange,WJ04-L-Orange,WJ04-L-Orange,84,30,"<p>The Ingrid Running Jacket combines sleek design and high performance with slim, contoured fit and moisture-wicking fabric. It features a full-zip construction and a collared neck to keep the elements out and body heat in. <br />&bull; Slim fit. <br />&bull; Moisture-wicking fabric. <br />&bull; Two side pockets. <br />&bull; Zippered pocket at back waist. <br />&bull; Machine wash/dry.<br />&bull; Ivory specked full zip</p>",None,Men Women Unisex,Nylon Polyester Rayon,0
yoga,Ingrid Running Jacket-L-Red,WJ04-L-Red,WJ04-L-Red,84,30,"<p>The Ingrid Running Jacket combines sleek design and high performance with slim, contoured fit and moisture-wicking fabric. It features a full-zip construction and a collared neck to keep the elements out and body heat in. <br />&bull; Slim fit. <br />&bull; Moisture-wicking fabric. <br />&bull; Two side pockets. <br />&bull; Zippered pocket at back waist. <br />&bull; Machine wash/dry.<br />&bull; Ivory specked full zip</p>",None,Men Women Unisex,Nylon Polyester Rayon,0
yoga,Ingrid Running Jacket-L-White,WJ04-L-White,WJ04-L-White,84,30,"<p>The Ingrid Running Jacket combines sleek design and high performance with slim, contoured fit and moisture-wicking fabric. It features a full-zip construction and a collared neck to keep the elements out and body heat in. <br />&bull; Slim fit. <br />&bull; Moisture-wicking fabric. <br />&bull; Two side pockets. <br />&bull; Zippered pocket at back waist. <br />&bull; Machine wash/dry.<br />&bull; Ivory specked full zip</p>",None,Men Women Unisex,Nylon Polyester Rayon,0
yoga,Ingrid Running Jacket-XL-Orange,WJ04-XL-Orange,WJ04-XL-Orange,84,30,"<p>The Ingrid Running Jacket combines sleek design and high performance with slim, contoured fit and moisture-wicking fabric. It features a full-zip construction and a collared neck to keep the elements out and body heat in. <br />&bull; Slim fit. <br />&bull; Moisture-wicking fabric. <br />&bull; Two side pockets. <br />&bull; Zippered pocket at back waist. <br />&bull; Machine wash/dry.<br />&bull; Ivory specked full zip</p>",None,Men Women Unisex,Nylon Polyester Rayon,0
yoga,Ingrid Running Jacket-XL-Red,WJ04-XL-Red,WJ04-XL-Red,84,30,"<p>The Ingrid Running Jacket combines sleek design and high performance with slim, contoured fit and moisture-wicking fabric. It features a full-zip construction and a collared neck to keep the elements out and body heat in. <br />&bull; Slim fit. <br />&bull; Moisture-wicking fabric. <br />&bull; Two side pockets. <br />&bull; Zippered pocket at back waist. <br />&bull; Machine wash/dry.<br />&bull; Ivory specked full zip</p>",None,Men Women Unisex,Nylon Polyester Rayon,0
yoga,Ingrid Running Jacket-XL-White,WJ04-XL-White,WJ04-XL-White,84,30,"<p>The Ingrid Running Jacket combines sleek design and high performance with slim, contoured fit and moisture-wicking fabric. It features a full-zip construction and a collared neck to keep the elements out and body heat in. <br />&bull; Slim fit. <br />&bull; Moisture-wicking fabric. <br />&bull; Two side pockets. <br />&bull; Zippered pocket at back waist. <br />&bull; Machine wash/dry.<br />&bull; Ivory specked full zip</p>",None,Men Women Unisex,Nylon Polyester Rayon,0
yoga,Ingrid Running Jacket,WJ04,WJ04,84,30,"<p>The Ingrid Running Jacket combines sleek design and high performance with slim, contoured fit and moisture-wicking fabric. It features a full-zip construction and a collared neck to keep the elements out and body heat in. <br />&bull; Slim fit. <br />&bull; Moisture-wicking fabric. <br />&bull; Two side pockets. <br />&bull; Zippered pocket at back waist. <br />&bull; Machine wash/dry.<br />&bull; Ivory specked full zip</p>",None,Men Women Unisex,Nylon Polyester Rayon,0
yoga,Riona Full Zip Jacket-XS-Brown,WJ05-XS-Brown,WJ05-XS-Brown,70,30,"<p>The Riona Basic Zip Jacket makes the perfect extra layer for cold-weather workouts. It features amazing breathability and moisture management, but full-length zipper lets you moderate your core temperature even more.</p>",None,Men Women Unisex,Nylon Polyester Rayon,0
lowinseam,Straight Fit with Jeans,34974,34974,44,5,Straight Fit with Jeans,None,Men,Denim,0
tulip,Tulip Skirt,TSJ-009,TSJ-009,44,44,Tulip Skirt,None,Women,Silk,0
polos,Short Sleeve Crewneck T-Shirt in Burnout,568532,568532,38,3,Short Sleeve Crewneck T-Shirt in Burnout,None,Men,Cotton,0
khakhi,Twill Pants in Straight Fit with GapFlex,TPSF-WJ,TPSF-WJ,98,2,Twill Pants in Straight Fit with GapFlex,None,Men,Cotton,0
french,Cargo Shorts,CS-12,CS-12,59.99,30,Cargo Shorts,None,Men,Cotton,0
french,French terry drawstring shorts,FT-DS12,FT-DS12,59.99,30,French terry drawstring shorts,Swim wear,Men,Cotton,0
superheros,Short Sleeve Crewneck Graphic T-Shirt,SSTC,SSTC,29.95,5,Short Sleeve Crewneck Graphic T-Shirt,None,Kids,Cotton,0
superheros,Light bulb graphic crewneck tee,LBG-L1,LBG-L1,32.95,5,Light bulb graphic crewneck tee,None,Kids,Cotton,0
blenders,Rachael Ray Cucina 12-pc. Hard-Anodized Nonstick Cookware Set,1884502,1884502,179.99,30,Rachael Ray Cucina 12-pc. Hard-Anodized Nonstick Cookware Set,Swim wear,Men,Cotton,0
machines,Ninja Coffee Bar with Glass Carafe,2288717,2288717,119.99,5,The Ninja Coffee Bar brewer lets you whip up a variety of coffee beverages with the simple touch of a button,None,Kids,Cotton,0
multi-level,5-Tier Bookshelf,1112618,1112618,99.99,5,Use this handy and unique bookshelf to add a modern touch to any room.,None,Kids,Cotton,0
